municipio,lat,alt,lon
Abrera,41.5204464,109.30130767822266,1.9024126
Aguilar de Segarra,41.7394902,480.31500244140625,1.6316676
Alella,41.4952867,106.0620346069336,2.2942758
Alpens,42.1195348,873.7643432617188,2.101673
"Ametlla del Vallès, L'",41.6434428,232.00331115722656,2.268344
Arenys de Mar,41.5797031,26.70583152770996,2.5491562
Arenys de Munt,41.6095429,130.57176208496094,2.5400513
Argençola,41.5977099,735.7871704101562,1.4433782
Argentona,41.5554326,93.5972900390625,2.4002787
Artés,41.7973321,318.19635009765625,1.9551567
Avià,42.0774337,691.88134765625,1.8221304
Avinyó,41.8630096,373.3438720703125,1.9707409
Avinyonet del Penedès,41.3559709,299.2093811035156,1.7823978
Aiguafreda,41.7692525,417.20135498046875,2.2517162
Badalona,41.4493539,13.990182876586914,2.248254
Bagà,42.2527659,794.8184814453125,1.8625903
Balenyà,41.8155343,652.272216796875,2.2139849
Balsareny,41.8631839,332.8876647949219,1.8755997
Barcelona,41.3825802,30.44297981262207,2.177073
Begues,41.3328119,373.4204406738281,1.925468
Bellprat,41.5174829,645.487060546875,1.4335846
Berga,42.1011456,701.67333984375,1.8454758
Bigues i Riells,41.6829679,247.1827392578125,2.2083886
Borredà,42.1355536,857.4742431640625,1.9941054
"Bruc, El",41.5269073,201.672607421875,2.0724609
"Brull, El",41.8167232,843.2906494140625,2.3055051
"Cabanyes, Les",41.3690766,226.28041076660156,1.6843531
Cabrera d'Anoia,41.4773537,296.67327880859375,1.7041083
Cabrera de Mar,41.5276986,107.79405212402344,2.3925117
Cabrils,41.5262354,145.79940795898438,2.3676258
Calaf,41.7323852,677.7573852539062,1.5150275
Caldes d'Estrac,41.5719788,32.12466812133789,2.5277607
Caldes de Montbui,41.632265,227.9727020263672,2.1676442
Calders,41.7892144,553.3582153320312,1.9916386
Calella,41.6132925,11.802916526794434,2.6576102
Calonge de Segarra,41.7642502,605.9256591796875,1.4820028
Calldetenes,41.9257651,492.7126770019531,2.2834318
Callús,41.7824664,263.06524658203125,1.7837664
Campins,41.7250261,325.2256774902344,2.4640701
Canet de Mar,41.5900933,42.92158508300781,2.5777998
Canovelles,41.6173948,155.51083374023438,2.28288
Cànoves i Samalús,41.7072824,600.0308227539062,2.3382536
Canyelles,41.2858273,125.7624282836914,1.7222743
Capellades,41.53,326.21038818359375,1.684787
Capolat,42.0776191,1271.887451171875,1.752867
Cardedeu,41.6385167,199.9210205078125,2.3558408
Cardona,41.9142758,516.5018920898438,1.68133
Carme,41.5319058,330.026123046875,1.6198579
Casserres,42.0138199,615.1184692382812,1.843045
Castellar del Riu,42.1273226,1626.275146484375,1.7549529
Castellar del Vallès,41.6138122,326.62493896484375,2.0875963
Castellar de n'Hug,42.2826009,1389.688232421875,2.0165927
Castellbell i el Vilar,41.6402768,288.775146484375,1.8472035
Castellbisbal,41.4765136,140.9478302001953,1.9832978
Castellcir,41.7615048,772.913818359375,2.1507238
Castelldefels,41.2861022,20.48320960998535,1.9824173
Castellet i la Gornal,41.2532183,135.1595916748047,1.5917346
Castellfollit del Boix,41.6657331,698.9652099609375,1.6847457
Castellfollit de Riubregós,41.7762237,485.2585144042969,1.4383714
Castellgalí,41.6732765,291.2817687988281,1.8378043
Castellnou de Bages,41.8348967,500.3578186035156,1.8365127
Castellolí,41.5981563,396.0166320800781,1.7002468
Castellterçol,41.7503071,715.4750366210938,2.1230793
Castellví de la Marca,41.3375741,236.30767822265625,1.6026645
Castellví de Rosanes,41.450038,183.31117248535156,1.8994527
Centelles,41.7981296,517.1593627929688,2.2218056
Cervelló,41.3964186,126.36854553222656,1.9585925
Collbató,41.570256,385.0493469238281,1.8285814
Collsuspina,41.8260718,900.3991088867188,2.174353
Copons,41.6363657,427.4428405761719,1.5179333
Corbera de Llobregat,41.4164771,274.543701171875,1.927753
Cornellà de Llobregat,41.355724,36.73994827270508,2.0706225
Cubelles,41.2083363,17.038663864135742,1.6730541
Dosrius,41.594347,150.85330200195312,2.4063166
Esparreguera,41.5393249,190.1522216796875,1.8694549
Esplugues de Llobregat,41.3776796,98.98735809326172,2.0899722
"Espunyola, L'",42.0530138,805.2564697265625,1.7698522
"Estany, L'",41.8692996,882.1172485351562,2.1125228
Fígols,42.1809467,1160.3306884765625,1.8366637
Fogars de Montclús,41.7471608,653.7320556640625,2.4394274
Fogars de la Selva,41.7342133,58.50154113769531,2.6728108
Folgueroles,41.9392868,549.69140625,2.3180742
Fonollosa,41.7626001,521.5956420898438,1.6678299
Font-rubí,41.4365689,664.8023071289062,1.5878667
"Franqueses del Vallès, Les",41.63176,172.5907440185547,2.2866464
Gallifa,41.6937007,511.3079833984375,2.1164334
"Garriga, La",41.3907821,43.64398193359375,2.165454
Gavà,41.3050933,21.47257423400879,2.0063126
Gaià,41.9160989,478.6185607910156,1.9255287
Gelida,41.4408877,184.36422729492188,1.8634309
Gironella,42.0337588,455.2398986816406,1.8825316
"Granada, La",41.3709852,243.39710998535156,1.7251204
Granera,41.7255146,754.7942504882812,2.0570042
Granollers,41.6079555,153.91827392578125,2.2876008
Gualba,41.7321147,183.3656768798828,2.5018684
Sant Salvador de Guardiola,41.6797988,332.2771301269531,1.7671087
Guardiola de Berguedà,42.2338584,744.0213012695312,1.8792389
Gurb,41.9409869,486.58331298828125,2.2433019
"Hospitalet de Llobregat, L'",41.3598601,16.908048629760742,2.0997927
Igualada,41.5790182,323.8491516113281,1.617346
Jorba,41.6014534,402.1642150878906,1.547408
"Llacuna, La",41.4026626,9.904580116271973,2.1971936
"Llagosta, La",41.5104344,47.236881256103516,2.1998592
Llinars del Vallès,41.6383547,185.927001953125,2.4033771
Lliçà d'Amunt,41.6116458,138.2915802001953,2.2393525
Lliçà de Vall,41.5915542,123.4258804321289,2.2422403
Lluçà,42.0671674,695.775634765625,2.0482158
Malgrat de Mar,41.6459118,10.440200805664062,2.7414054
Malla,41.887016,568.6378173828125,2.2354564
Manlleu,41.9999811,452.30029296875,2.2841159
Manresa,41.7288939,258.437744140625,1.8286765
Martorell,41.4769177,54.50102615356445,1.9283971
Martorelles,41.52851,110.80070495605469,2.2374755
"Masies de Roda, Les",41.9895262,453.0429992675781,2.3076733
"Masies de Voltregà, Les",42.010066,482.7043762207031,2.2444115
"Masnou, El",41.4769061,9.37055492401123,2.3104186
Masquefa,41.5026351,261.22210693359375,1.8110722
Matadepera,41.6012311,428.9895935058594,2.0275199
Mataró,41.5398348,32.92654800415039,2.4448926
Mediona,41.4773943,424.5128479003906,1.6350185
Molins de Rei,41.4138087,32.80016326904297,2.0159626
Mollet del Vallès,41.5393484,70.03926849365234,2.2130934
Montcada i Reixac,41.4823115,42.15510559082031,2.1869985
Montgat,41.4666983,29.086563110351562,2.2789654
Monistrol de Montserrat,41.6105028,143.80374145507812,1.8452698
Monistrol de Calders,41.7608379,454.8427429199219,2.0146236
Muntanyola,41.8769342,825.3045043945312,2.1790836
Montclar,42.018173,722.9391479492188,1.7653302
Montesquiu,42.108728,580.2213134765625,2.2086111
Montmajor,42.0180704,749.5098876953125,1.735819
Montmaneu,41.6259778,710.3800048828125,1.4147627
Figaró-Montmany,41.7098219,526.5524291992188,2.253646
Montmeló,41.5515189,85.33171081542969,2.2480812
Montornès del Vallès,41.542545,95.16492462158203,2.2670557
